Point,LDP1_E_PJ4_m,LDP1_N_PJ4_m,LDP2_E_WKT_m,LDP2_N_WKT_m,dE_m,dN_m,d2D_m
RBM01,59244.325989634,31120.699856036,59244.325989634,31120.699856036,0.000000000,0.000000000,0.000000000
RBM02,68907.432132865,31173.702394834,68907.432132865,31173.702394834,0.000000000,0.000000000,0.000000000
RBM03,70007.345569604,25565.457049923,70007.345569604,25565.457049923,0.000000000,0.000000000,0.000000000
RBM04*,62681.033376150,26579.401192783,62681.033376150,26579.401192783,0.000000000,0.000000000,0.000000000
L0BM05*,62948.276786320,28725.052513147,62948.276786320,28725.052513147,0.000000000,0.000000000,0.000000000
L0BM06,61007.864287279,30053.389810604,61007.864287279,30053.389810604,0.000000000,0.000000000,0.000000000
L0BM07,62599.620296439,31047.864126951,62599.620296439,31047.864126951,0.000000000,0.000000000,0.000000000
L0BM08,65187.928872814,30807.556646722,65187.928872814,30807.556646722,0.000000000,0.000000000,0.000000000
L0BM09,66754.993456985,29700.041317365,66754.993456985,29700.041317365,0.000000000,0.000000000,0.000000000
L0BM10,69776.034925450,29123.535446138,69776.034925450,29123.535446138,0.000000000,0.000000000,0.000000000
L0BM11,69626.483207005,28089.988496665,69626.483207005,28089.988496665,0.000000000,0.000000000,0.000000000
L0BM12,69748.969728361,26778.478465405,69748.969728361,26778.478465405,0.000000000,0.000000000,0.000000000
L0BM13,66082.144087461,25895.063935135,66082.144087461,25895.063935135,0.000000000,0.000000000,0.000000000
L0BM14,64018.630759541,26780.152857420,64018.630759541,26780.152857420,0.000000000,0.000000000,0.000000000
CBM15,58649.028823806,31968.967893596,58649.028823806,31968.967893596,0.000000000,0.000000000,0.000000000
CBM16,59565.136133431,33930.801072926,59565.136133431,33930.801072926,0.000000000,0.000000000,0.000000000
CBM17,59839.386401111,30745.348445800,59839.386401111,30745.348445800,0.000000000,0.000000000,0.000000000
CBM18,60180.047000367,30500.158275049,60180.047000367,30500.158275049,0.000000000,0.000000000,0.000000000
CBM19,60808.863673069,30056.186997664,60808.863673069,30056.186997664,0.000000000,0.000000000,0.000000000
CBM20*,61155.094517784,30391.968082090,61155.094517784,30391.968082090,0.000000000,0.000000000,0.000000000
CBM21,61295.205808811,28662.778650122,61295.205808811,28662.778650122,0.000000000,0.000000000,0.000000000
CBM22,62767.802818371,28951.024369698,62767.802818371,28951.024369698,0.000000000,0.000000000,0.000000000
CBM23,63496.935910123,29923.955633429,63496.935910123,29923.955633429,0.000000000,0.000000000,0.000000000
CBM24*,62924.663010674,28147.872600095,62924.663010674,28147.872600095,0.000000000,0.000000000,0.000000000
CBM25,63865.640225968,29223.131405351,63865.640225968,29223.131405351,0.000000000,0.000000000,0.000000000
CBM26,62400.798784933,27328.197802412,62400.798784933,27328.197802412,0.000000000,0.000000000,0.000000000
CBM27,65249.594939661,26406.802768649,65249.594939661,26406.802768649,0.000000000,0.000000000,0.000000000
CBM28*,64553.579599230,25873.182995988,64553.579599230,25873.182995988,0.000000000,0.000000000,0.000000000
CBM29,65598.077870893,26630.624856459,65598.077870893,26630.624856459,0.000000000,0.000000000,0.000000000
CBM30,68004.198088397,32828.510522049,68004.198088397,32828.510522049,0.000000000,0.000000000,0.000000000
CBM31,67664.310136408,24504.698793825,67664.310136408,24504.698793825,0.000000000,0.000000000,0.000000000
CBM32,66283.194023873,27879.042979389,66283.194023873,27879.042979389,0.000000000,0.000000000,0.000000000
CBM33,66169.692107427,27744.804502688,66169.692107427,27744.804502688,0.000000000,0.000000000,0.000000000
CBM34,65850.550865658,27399.319100170,65850.550865658,27399.319100170,0.000000000,0.000000000,0.000000000
CBM35*,65714.778469556,26927.877230119,65714.778469556,26927.877230119,0.000000000,0.000000000,0.000000000
CBM36,66628.512148382,25584.136235736,66628.512148382,25584.136235736,0.000000000,0.000000000,0.000000000
CBM37,66123.495626062,26858.402648984,66123.495626062,26858.402648984,0.000000000,0.000000000,0.000000000
CBM36*,67139.652701540,27104.603596415,67139.652701540,27104.603596415,0.000000000,0.000000000,0.000000000
CBM39,68117.289926023,24773.669323298,68117.289926023,24773.669323298,0.000000000,0.000000000,0.000000000
CBM40,72015.103819964,29278.296046955,72015.103819964,29278.296046955,0.000000000,0.000000000,0.000000000
CBM41,69256.248713841,31096.573894264,69256.248713841,31096.573894264,0.000000000,0.000000000,0.000000000
CBM42*,63272.564099741,27066.869266748,63272.564099741,27066.869266748,0.000000000,0.000000000,0.000000000
CBM43*,61935.336836766,29636.715604848,61935.336836766,29636.715604848,0.000000000,0.000000000,0.000000000
CBM44*,62511.363781448,28813.207495864,62511.363781448,28813.207495864,0.000000000,0.000000000,0.000000000
CBM45*,65221.887744043,31713.815879942,65221.887744043,31713.815879942,0.000000000,0.000000000,0.000000000
CBM46*,69536.359083238,30722.715493313,69536.359083238,30722.715493313,0.000000000,0.000000000,0.000000000
CBM47*,69314.149855979,25951.759926244,69314.149855979,25951.759926244,0.000000000,0.000000000,0.000000000
CBM48*,62875.347248740,31339.875906235,62875.347248740,31339.875906235,0.000000000,0.000000000,0.000000000
CBM49*,62741.561658442,29786.615389175,62741.561658442,29786.615389175,0.000000000,0.000000000,0.000000000
