No.,Airport Name,IATA,ICAO,Province,Type / Operator
1,Suvarnabhumi Airport,BKK,VTBS,Samut Prakan,Commercial (AOT)
2,Don Mueang International Airport,DMK,VTBD,Bangkok,Commercial (AOT)
3,Chiang Mai International Airport,CNX,VTCC,Chiang Mai,Commercial (AOT)
4,Mae Fah Luang - Chiang Rai International Airport,CEI,VTCT,Chiang Rai,Commercial (AOT)
5,Phuket International Airport,HKT,VTSP,Phuket,Commercial (AOT)
6,Hat Yai International Airport,HDY,VTSS,Songkhla,Commercial (AOT)
7,Betong Airport,BTZ,VTSY,Yala,Commercial (DOA)
8,Buriram Airport,BFV,VTUO,Buri Ram,Commercial (DOA)
9,Chumphon Airport,CJM,VTSE,Chumphon,Commercial (DOA)
10,Hua Hin Airport,HHQ,VTPH,Prachuap Khiri Khan,Commercial (DOA)
11,Khon Kaen Airport,KKC,VTUK,Khon Kaen,Commercial (DOA)
12,Krabi International Airport,KBV,VTSG,Krabi,Commercial (DOA)
13,Lampang Airport,LPT,VTCL,Lampang,Commercial (DOA)
14,Loei Airport,LOE,VTNL,Loei,Commercial (DOA)
15,Mae Hong Son Airport,HGN,VTCM,Mae Hong Son,Commercial (DOA)
16,Mae Sot Airport,MAQ,VTPM,Tak,Commercial (DOA)
17,Nakhon Phanom Airport,KOP,VTUW,Nakhon Phanom,Commercial (DOA)
18,Nakhon Ratchasima Airport,NAK,VTUQ,Nakhon Ratchasima,Commercial (DOA)
19,Nakhon Si Thammarat Airport,NST,VTSF,Nakhon Si Thammarat,Commercial (DOA)
20,Nan Nakhon Airport,NNT,VTCN,Nan,Commercial (DOA)
21,Narathiwat Airport,NAW,VTSC,Narathiwat,Commercial (DOA)
22,Pai Airport,PYY,VTCI,Mae Hong Son,Commercial (DOA)
23,Phitsanulok Airport,PHS,VTPP,Phitsanulok,Commercial (DOA)
24,Phrae Airport,PRH,VTCP,Phrae,Commercial (DOA)
25,Ranong Airport,UNN,VTSR,Ranong,Commercial (DOA)
26,Roi Et Airport,ROI,VTUV,Roi Et,Commercial (DOA)
27,Sakon Nakhon Airport,SNO,VTUI,Sakon Nakhon,Commercial (DOA)
28,Surat Thani International Airport,URT,VTSB,Surat Thani,Commercial (DOA)
29,Trang Airport,TST,VTST,Trang,Commercial (DOA)
30,Trat Airport,TDX,VTBO,Trat,Commercial (Bangkok Airways)
31,Ubon Ratchathani Airport,UBP,VTUU,Ubon Ratchathani,Commercial (DOA)
32,Udon Thani International Airport,UTH,VTUD,Udon Thani,Commercial (DOA)
33,U-Tapao-Rayong-Pattaya International Airport,UTP,VTBU,Rayong,Joint Commercial / Military (RTN)
34,Samui Airport,USM,VTSM,Surat Thani,Commercial (Bangkok Airways)
35,Sukhothai Airport,THS,VTPO,Sukhothai,Commercial (Bangkok Airways)
36,Ko Mai Si Airstrip,-,VTQI,Trat,Private Strip
37,Takhli Royal Thai Air Force Base,TKH,VTPI,Nakhon Sawan,Military (RTAF Wing 4)
38,Korat Royal Thai Air Force Base,-,VTUN,Nakhon Ratchasima,Military (RTAF Wing 1)
39,Kamphaeng Saen Airport,KDT,VNKP,Nakhon Pathom,Military Training (RTAF)
40,Prachuap Khiri Khan Air Base,-,VTBN,Prachuap Khiri Khan,Military (RTAF Wing 5)
41,Surin Bhakdi Airport,-,VTUS,Surin,Provincial / Public Airfield
42,Phetchabun Airport,PHY,VTPB,Phetchabun,Domestic (DOA)
43,Tak Airport,TKT,VTPT,Tak,Domestic (DOA)
44,Mae Sariang Airstrip,-,VTCS,Mae Hong Son,Regional Public Airstrip
45,Uttaradit Airstrip,UTR,VTPU,Uttaradit,Regional Public Airstrip
46,Songkhla Airfield,SGZ,VTSH,Songkhla,Military (Royal Thai Navy)
47,Chanthaburi Airstrip / Tha Mai,-,VTBC,Chanthaburi,Military / Official
48,Cha-ian Airstrip,-,VTSY,Nakhon Si Thammarat,Military (Fort Vajiravudh)
49,Pattani Airport,PAN,VTSK,Pattani,Military / Official
50,Khok Kathiam Air Base,-,VTBL,Lopburi,Military (RTAF Wing 2 / Army Aviation)
